DISTRICT,INCLOCATION_X,LATITUDE_X,LONGITUDE_X,CPD_NEIGHBORHOOD,SNA_NEIGHBORHOOD,OID,RMS_NO,VICCOUNT,CITYSTATEZIP,RACE,SEX,AGE,TYPE,DATEOCCURRED,MONTHOCCURED,TIMEOCCURED,HROCCURED,DAYOCCURRED,RMSDUP,DATETIME,DSTFULL,ZIP,COMMUNITY_COUNCIL_NEIGHBORHOOD
4,35XX ALASKA AV,39.1483938301097,-84.4992881620262,AVONDALE,AVONDALE,2920,159006410,1,"CINC, OH 45224",BLACK,MALE,21,NONFATAL,03/18/2015 12:00:00 AM,MAR,205000,20,WED,159006410,03/18/2015 08:50:00 PM,DISTRICT 4,45229,AVONDALE
5,5XX DUTCH COLONY DR,39.1894638271476,-84.5117155432868,WINTON HILLS,WINTON HILLS,3020,159012309,1,"CINC, OH 45212",BLACK,MALE,21,NONFATAL,05/16/2015 12:00:00 AM,MAY,231000,23,SAT,159012309,05/16/2015 11:10:00 PM,DISTRICT 5,45232,WINTON HILLS
2,15XX RUTH AV,39.1398825881943,-84.4764885479597,EVANSTON,EVANSTON,277,20804660,1,,BLACK,MALE,44,NONFATAL,09/10/2008 12:00:00 AM,SEP,,N/A,WED,20804660,09/10/2008 12:00:00 AM,DISTRICT 2,45207,EVANSTON
4,35XX IRVING ST,39.1478050985052,-84.5088655637732,AVONDALE,AVONDALE,444,40900585,1,,BLACK,MALE,23,FATAL,01/23/2009 12:00:00 AM,JAN,,N/A,FRI,40900585,01/23/2009 12:00:00 AM,DISTRICT 4,45220,AVONDALE
4,77XX STILLWELL RD,39.2030638454699,-84.4575304034419,ROSELAWN,ROSELAWN,3990,179027350,2,,BLACK,MALE,37,NONFATAL,07/16/2017 12:00:00 AM,JUL,031000,3,SUN,179027350,07/16/2017 03:10:00 AM,DISTRICT 4,,ROSELAWN
4,35XX READING RD,39.1458452037887,-84.4904666529342,AVONDALE,AVONDALE,914,41001595,3,,BLACK,MALE,19,NONFATAL,03/26/2010 12:00:00 AM,MAR,,N/A,FRI,41001595,03/26/2010 12:00:00 AM,DISTRICT 4,45229,AVONDALE
4,9XX BURTON AV,39.1515785839953,-84.4856308783781,NORTH AVONDALE,AVONDALE,2327,139020196,1,"CINC, OH 45233",BLACK,MALE,51,NONFATAL,07/31/2013 12:00:00 AM,JUL,001000,0,WED,139020196,07/31/2013 12:10:00 AM,DISTRICT 4,45229,AVONDALE - NORTH AVONDALE
5,8XX DUTCH COLONY DR,39.1899709471511,-84.5184493046461,WINTON HILLS,WINTON HILLS,4901,209003571,1,,BLACK,MALE,34,NONFATAL,02/15/2020 12:00:00 AM,FEB,142500,14,SAT,209003571,02/15/2020 02:25:00 PM,DISTRICT 5,,WINTON HILLS
3,12XX ROSS AV,39.1138119827365,-84.5750048237147,EAST PRICE HILL,EAST PRICE HILL,288,30809400,2,,WHITE,MALE,51,NONFATAL,09/17/2008 12:00:00 AM,SEP,,N/A,WED,30809400,09/17/2008 12:00:00 AM,DISTRICT 3,45205,EAST PRICE HILL
2,46XX KELLOGG AV,39.0905494237154,-84.4260728493592,EAST END,LINWOOD,3870,179010261,17,,BLACK,MALE,24,NONFATAL,03/26/2017 12:00:00 AM,MAR,013000,1,SUN,179010261,03/26/2017 01:30:00 AM,DISTRICT 2,,EAST END
3,18XX WESTWOOD AV,39.126263636835,-84.5603049788034,SOUTH FAIRMOUNT,SOUTH FAIRMOUNT,34,30801304,1,,BLACK,MALE,18,FATAL,02/14/2008 12:00:00 AM,FEB,,N/A,THU,30801304,02/14/2008 12:00:00 AM,DISTRICT 3,45214,SOUTH FAIRMOUNT
4,35XX HARVEY AV,39.1458309429465,-84.4977007778691,AVONDALE,AVONDALE,1493,41104498,1,"CINC, OH 45140",WHITE,MALE,19,NONFATAL,07/15/2011 12:00:00 AM,JUL,142500,14,FRI,41104498,07/15/2011 02:25:00 PM,DISTRICT 4,45229,AVONDALE
3,25XX NOTTINGHAM RD,39.1564382600626,-84.5612279117881,VILLAGES AT ROLL HILL,VILLAGES AT ROLL HILL,1124,31009211,4,"CINC, OH 45239",BLACK,FEMALE,30,NONFATAL,09/14/2010 12:00:00 AM,SEP,,N/A,TUE,31009211,09/14/2010 12:00:00 AM,DISTRICT 3,45225,VILLAGES AT ROLL HILL
1,19XX VINE ST,39.1159246394835,-84.5168032185605,OVER-THE-RHINE,OVER-THE-RHINE,1415,11102088,1,"C/O, 45205",BLACK,FEMALE,18,NONFATAL,05/25/2011 12:00:00 AM,MAY,204500,20,WED,11102088,05/25/2011 08:45:00 PM,DISTRICT 1,45202,OTR
4,1XX DORCHESTER AV,39.1174589592724,-84.5117248799025,MT AUBURN,MT. AUBURN,1385,41102710,1,"CINC, OH 45211",BLACK,MALE,26,NONFATAL,05/05/2011 12:00:00 AM,MAY,223000,22,THU,41102710,05/05/2011 10:30:00 PM,DISTRICT 4,45219,MOUNT AUBURN
1,15XX MOORE ST,39.112280925404,-84.5156536423984,OVER-THE-RHINE,OVER-THE-RHINE,3277,159029649,1,"CINTI, OH 45229",BLACK,MALE,34,NONFATAL,10/30/2015 12:00:00 AM,OCT,002700,0,FRI,159029649,10/30/2015 12:27:00 AM,DISTRICT 1,,OTR
1,X W ELDER ST,39.1146598696471,-84.5162383486936,OVER-THE-RHINE,OVER-THE-RHINE,2418,139028143,1,"CINC, OH 45246",BLACK,MALE,41,NONFATAL,10/11/2013 12:00:00 AM,OCT,225300,22,FRI,139028143,10/11/2013 10:53:00 PM,DISTRICT 1,45202,OTR
4,1XX E GALBRAITH RD,39.2128124003827,-84.4670498590144,HARTWELL,HARTWELL,3825,179004331,1,,BLACK,MALE,24,NONFATAL,02/15/2017 12:00:00 AM,FEB,190000,19,WED,179004331,02/15/2017 07:00:00 PM,DISTRICT 4,,HARTWELL
5,42XX COLERAIN AV,39.1626593030019,-84.5501090860459,NORTHSIDE,NORTHSIDE,5155,209016624,1,,BLACK,MALE,29,NONFATAL,07/30/2020 12:00:00 AM,JUL,171500,17,THU,209016624,07/30/2020 05:15:00 PM,DISTRICT 5,,NORTHSIDE
1,20XX CENTRAL AV,39.1194047878456,-84.524381249977,WEST END,OVER-THE-RHINE,446,10900324,3,,BLACK,MALE,19,FATAL,01/25/2009 12:00:00 AM,JAN,,N/A,SUN,10900324,01/25/2009 12:00:00 AM,DISTRICT 1,45214,OTR
3,36XX W EIGHTH ST,39.1064297308174,-84.5726664633135,EAST PRICE HILL,EAST PRICE HILL,2133,139006060,3,"CINC, OH 45238",BLACK,FEMALE,24,NONFATAL,03/17/2013 12:00:00 AM,MAR,014100,1,SUN,139006060,03/17/2013 01:41:00 AM,DISTRICT 3,45205,EAST PRICE HILL
4,2XX SCHILLER ST,39.1143669795111,-84.5114612505923,MT AUBURN,OVER-THE-RHINE,1518,41104908,1,"CINC, OH 45247",BLACK,MALE,29,NONFATAL,07/31/2011 12:00:00 AM,JUL,133000,13,SUN,41104908,07/31/2011 01:30:00 PM,DISTRICT 4,45202,MOUNT AUBURN
4,4XX ERKENBRECHER AV,39.142214234223,-84.5009356340546,AVONDALE,AVONDALE,1614,41106681,1,"CINC, OH 45229",BLACK,MALE,48,NONFATAL,10/15/2011 12:00:00 AM,OCT,231300,23,SAT,41106681,10/15/2011 11:13:00 PM,DISTRICT 4,45229,AVONDALE
5,49XX HAWAIIAN TE,39.1841532850752,-84.562770408483,MT AIRY,MT. AIRY,2921,159006619,1,"CINCINNATI, OH 45223",BLACK,MALE,55,NONFATAL,03/21/2015 12:00:00 AM,MAR,003500,0,SAT,159006619,03/21/2015 12:35:00 AM,DISTRICT 5,45223,MOUNT AIRY
3,6XX NEAVE ST,39.1019273672745,-84.5536929960196,LOWER PRICE HILL,LOWER PRICE HILL,898,31002195,1,,BLACK,MALE,25,NONFATAL,03/20/2010 12:00:00 AM,MAR,,N/A,SAT,31002195,03/20/2010 12:00:00 AM,DISTRICT 3,45204,LOWER PRICE HILL
3,30XX BRACKEN WOODS LN,39.1426126735419,-84.5833424935166,WESTWOOD,WESTWOOD,1198,31011090,2,0,BLACK,MALE,18,NONFATAL,11/03/2010 12:00:00 AM,NOV,,N/A,WED,31011090,11/03/2010 12:00:00 AM,DISTRICT 3,45211,WESTWOOD
3,27XX HARRISON AV,39.140424954831,-84.5909529235507,WESTWOOD,WESTWOOD,4530,199001245,1,,BLACK,MALE,19,NONFATAL,01/17/2019 12:00:00 AM,JAN,014500,1,THU,199001245,01/17/2019 01:45:00 AM,DISTRICT 3,,WESTWOOD
1,13XX WALNUT ST,39.1092770269664,-84.5127714684534,OVER-THE-RHINE,OVER-THE-RHINE,650,10903358,1,,BLACK,MALE,26,FATAL,07/25/2009 12:00:00 AM,JUL,,N/A,SAT,10903358,07/25/2009 12:00:00 AM,DISTRICT 1,45202,OTR
1,2XX W MCMICKEN AV,39.1208223879205,-84.5235416897891,OVER-THE-RHINE,OVER-THE-RHINE,4650,199012667,1,,BLACK,MALE,56,NONFATAL,06/13/2019 12:00:00 AM,JUN,052600,5,THU,199012667,06/13/2019 05:26:00 AM,DISTRICT 1,,OTR
3,32XX BEEKMAN ST,39.1467007386487,-84.5519127655848,MILLVALE,MILLVALE,3328,159033522,1,"CINCINNATI, OH 45219",WHITE,FEMALE,27,NONFATAL,12/14/2015 12:00:00 AM,DEC,180000,18,MON,159033522,12/14/2015 06:00:00 PM,DISTRICT 3,,MILLVALE
1,15XX DUDLEY WK,39.1126402580492,-84.5309897048406,WEST END,WEST END,2482,139034145,1,"CINCINNATI, OH 45214",BLACK,MALE,30,NONFATAL,12/21/2013 12:00:00 AM,DEC,005000,0,SAT,139034145,12/21/2013 12:50:00 AM,DISTRICT 1,45214,WEST END
3,16XX DENHAM ST,39.1356397280373,-84.5477399092917,NORTH FAIRMOUNT,NORTH FAIRMOUNT,682,30907763,2,,BLACK,MALE,32,NONFATAL,08/18/2009 12:00:00 AM,AUG,,N/A,TUE,30907763,08/18/2009 12:00:00 AM,DISTRICT 3,45225,NORTH FAIRMOUNT
3,24XX WILLIAMSBURG DR,39.1560157593418,-84.5603383754365,VILLAGES AT ROLL HILL,VILLAGES AT ROLL HILL,2890,159002968,1,UNKNOWN,BLACK,MALE,18,NONFATAL,02/04/2015 12:00:00 AM,FEB,073300,7,WED,159002968,02/04/2015 07:33:00 AM,DISTRICT 3,45225,VILLAGES AT ROLL HILL
4,30XX ALMS PL,39.1328380781239,-84.4833388374716,WALNUT HILLS,WALNUT HILLS,2226,139013216,3,"CINC, OH 45206",BLACK,FEMALE,31,NONFATAL,05/27/2013 12:00:00 AM,MAY,215000,21,MON,139013216,05/27/2013 09:50:00 PM,DISTRICT 4,45206,WALNUT HILLS
5,18XX CHASE AV,39.1650607637074,-84.5490624535494,NORTHSIDE,NORTHSIDE,699,50905210,3,,BLACK,MALE,26,NONFATAL,08/29/2009 12:00:00 AM,AUG,,N/A,SAT,50905210,08/29/2009 12:00:00 AM,DISTRICT 5,45223,NORTHSIDE
3,41XX PRESIDENT DR,39.1571094577422,-84.5579198469525,VILLAGES AT ROLL HILL,VILLAGES AT ROLL HILL,469,30901392,1,,BLACK,MALE,21,NONFATAL,02/20/2009 12:00:00 AM,FEB,,N/A,FRI,30901392,02/20/2009 12:00:00 AM,DISTRICT 3,45225,VILLAGES AT ROLL HILL
4,76XX READING RD,39.1986673654521,-84.4573066288011,ROSELAWN,ROSELAWN,2106,139003541,1,"CINC, OH 45205",BLACK,MALE,24,NONFATAL,02/10/2013 12:00:00 AM,FEB,003000,0,SUN,139003541,02/10/2013 12:30:00 AM,DISTRICT 4,45237,ROSELAWN
2,49XX MATHIS ST,39.1606945055458,-84.3913040412608,MADISONVILLE,MADISONVILLE,1401,21102089,1,"CINC, OH 45227",BLACK,MALE,25,NONFATAL,05/20/2011 12:00:00 AM,MAY,214000,21,FRI,21102089,05/20/2011 09:40:00 PM,DISTRICT 2,45227,MADISONVILLE
4,8XX BUENA VISTA PL,39.13390989063,-84.4881822346434,WALNUT HILLS,WALNUT HILLS,395,40809132,2,,BLACK,MALE,42,NONFATAL,12/07/2008 12:00:00 AM,DEC,,N/A,SUN,40809132,12/07/2008 12:00:00 AM,DISTRICT 4,45206,WALNUT HILLS
4,6XX ROCKDALE AV,39.144185735018,-84.493896546568,AVONDALE,AVONDALE,4889,209001335,1,,BLACK,FEMALE,28,FATAL,01/17/2020 12:00:00 AM,JAN,033000,3,FRI,209001335,01/17/2020 03:30:00 AM,DISTRICT 4,,AVONDALE
5,16XX POWERS ST,39.1574916130476,-84.5413713191792,NORTHSIDE,NORTHSIDE,2959,159009295,1,"CINCINNATI, OH 45205",BLACK,MALE,39,NONFATAL,04/17/2015 12:00:00 AM,APR,004000,0,FRI,159009295,04/17/2015 12:40:00 AM,DISTRICT 5,45223,NORTHSIDE
5,58XX SHADYMIST LN,39.2013281174168,-84.5774284582766,MT AIRY,MT. AIRY,3294,159030744,2,"CINCINNATI, OH 45239",BLACK,MALE,50,NONFATAL,11/11/2015 12:00:00 AM,NOV,183000,18,WED,159030744,11/11/2015 06:30:00 PM,DISTRICT 5,,MOUNT AIRY
1,15XX MOORE ST,39.112709451419,-84.5150406671088,OVER-THE-RHINE,OVER-THE-RHINE,3529,169015581,1,"CINCINNATI, OH 45203",BLACK,MALE,37,NONFATAL,06/26/2016 12:00:00 AM,JUN,230000,23,SUN,169015581,06/26/2016 11:00:00 PM,DISTRICT 1,,OTR
2,61XX PRENTICE ST,39.1601961553044,-84.3903923743621,MADISONVILLE,MADISONVILLE,3166,159022597,7,"CINCINNATI, OH 45230",BLACK,MALE,23,NONFATAL,08/21/2015 12:00:00 AM,AUG,235800,23,FRI,159022597,08/21/2015 11:58:00 PM,DISTRICT 2,45227,MADISONVILLE
3,15XX HILSON PL,39.1245401862789,-84.6054479302928,WESTWOOD,WEST PRICE HILL,4172,179053222,1,"CINCINNATI, OH",WHITE,FEMALE,21,NONFATAL,12/11/2017 12:00:00 AM,DEC,190500,19,MON,179053222,12/11/2017 07:05:00 PM,DISTRICT 3,,WEST PRICE HILL
4,70XX GLENMEADOW LN,39.1886693193569,-84.4679637326889,BOND HILL,ROSELAWN,1544,41106658,1,"CINC, OH 45237",BLACK,MALE,27,FATAL,08/21/2011 12:00:00 AM,AUG,190000,19,SUN,41106658,08/21/2011 07:00:00 PM,DISTRICT 4,45237,BOND HILL
5,6XX DUTCH COLONY DR,39.1907145930985,-84.5131523402974,WINTON HILLS,WINTON HILLS,2334,139020466,1,"CINC, OH 45237",BLACK,MALE,20,NONFATAL,08/04/2013 12:00:00 AM,AUG,031200,3,SUN,139020466,08/04/2013 03:12:00 AM,DISTRICT 5,45232,WINTON HILLS
4,35XX WILSON AV,39.1467264912645,-84.5019468145858,AVONDALE,AVONDALE,4110,179044129,1,,BLACK,MALE,24,NONFATAL,10/14/2017 12:00:00 AM,OCT,222800,22,SAT,179044129,10/14/2017 10:28:00 PM,DISTRICT 4,,AVONDALE
4,48XX READING RD,39.1747926473757,-84.4661292289801,BOND HILL,BOND HILL,2072,139000630,1,"CINC, OH 45231",BLACK,MALE,21,NONFATAL,01/07/2013 12:00:00 AM,JAN,152500,15,MON,139000630,01/07/2013 03:25:00 PM,DISTRICT 4,45237,BOND HILL
1,17XX LINN ST,39.1156626540163,-84.5262554042811,WEST END,WEST END,3487,169013137,3,"CINCINNATI, OH 45205",BLACK,MALE,18,NONFATAL,06/01/2016 12:00:00 AM,JUN,230500,23,WED,169013137,06/01/2016 11:05:00 PM,DISTRICT 1,,WEST END
1,XX BACK ST,39.1143626926262,-84.5154057913384,OVER-THE-RHINE,OVER-THE-RHINE,2698,149018418,1,"CINC, OH 45202",BLACK,FEMALE,24,NONFATAL,07/29/2014 12:00:00 AM,JUL,223000,22,TUE,149018418,07/29/2014 10:30:00 PM,DISTRICT 1,45202,OTR
3,18XX KNOX ST,39.1304688496029,-84.558311772007,SOUTH FAIRMOUNT,SOUTH FAIRMOUNT,4383,189022280,1,,BLACK,MALE,16,NONFATAL,08/14/2018 12:00:00 AM,AUG,145300,14,TUE,189022280,08/14/2018 02:53:00 PM,DISTRICT 3,,SOUTH FAIRMOUNT
3,10XX ROSS AVE,39.112927595624,-84.5735908379733,EAST PRICE HILL,EAST PRICE HILL,4282,189013665,4,,BLACK,MALE,19,NONFATAL,05/24/2018 12:00:00 AM,MAY,184500,18,THU,189013665,05/24/2018 06:45:00 PM,DISTRICT 3,,EAST PRICE HILL
4,77XX READING RD,39.2027171639702,-84.4557599033925,ROSELAWN,ROSELAWN,1863,129017842,1,"CINC, OH 45239",BLACK,MALE,23,NONFATAL,06/28/2012 12:00:00 AM,JUN,034000,3,THU,129017842,06/28/2012 03:40:00 AM,DISTRICT 4,45237,ROSELAWN
3,30XX MCHENRY AV,39.1413202846314,-84.5804423380888,WESTWOOD,WESTWOOD,3425,169007106,1,"CINCINNATI, OH 45231",BLACK,MALE,18,NONFATAL,03/27/2016 12:00:00 AM,MAR,233000,23,SUN,169007106,03/27/2016 11:30:00 PM,DISTRICT 3,,WESTWOOD
5,4XX KINGS RUN DR,39.1773075234389,-84.5096919243708,WINTON HILLS,WINTON HILLS,3362,169001894,2,"CINCINNATI, OH 45232",BLACK,MALE,22,NONFATAL,01/24/2016 12:00:00 AM,JAN,00000000000000.000,0,SUN,169001894,01/24/2016 12:00:00 AM,DISTRICT 5,,WINTON HILLS
4,5XX ROCKDALE AV,39.1448078870628,-84.4962303150642,AVONDALE,AVONDALE,3105,159017577,1,"CINCINNATI, OH 45214",BLACK,MALE,28,NONFATAL,07/07/2015 12:00:00 AM,JUL,172000,17,TUE,159017577,07/07/2015 05:20:00 PM,DISTRICT 4,45229,AVONDALE
5,54XX COLERAIN AV,39.190378443224,-84.5694561916338,MT AIRY,MT. AIRY,4639,199012020,1,,BLACK,MALE,19,FATAL,06/05/2019 12:00:00 AM,JUN,132000,13,WED,199012020,06/05/2019 01:20:00 PM,DISTRICT 5,,MOUNT AIRY
1,18XX BAYMILLER ST,39.1161765271008,-84.5290643206561,WEST END,WEST END,2785,149025641,1,"CINCINNATI, OH 45214",BLACK,MALE,33,NONFATAL,10/08/2014 12:00:00 AM,OCT,210200,21,WED,149025641,10/08/2014 09:02:00 PM,DISTRICT 1,45214,WEST END
4,3XX NORTHERN AV,39.1433622711977,-84.5021612741018,AVONDALE,AVONDALE,3278,159029724,2,"BATAVIA, OH 45103",WHITE,FEMALE,23,NONFATAL,10/30/2015 12:00:00 AM,OCT,232000,23,FRI,159029724,10/30/2015 11:20:00 PM,DISTRICT 4,,AVONDALE
4,27XX EDEN AV,39.1311390800476,-84.5062360346598,CORRYVILLE,CORRYVILLE,2923,159006706,2,"CINC, OH 45215",BLACK,MALE,19,NONFATAL,03/22/2015 12:00:00 AM,MAR,010000,1,SUN,159006706,03/22/2015 01:00:00 AM,DISTRICT 4,45219,CORRYVILLE
1,8XX YORK ST,39.1164137077722,-84.5281299009742,WEST END,WEST END,3776,179000289,1,,WHITE,FEMALE,50,NONFATAL,01/03/2017 12:00:00 AM,JAN,203000,20,TUE,179000289,01/03/2017 08:30:00 PM,DISTRICT 1,,WEST END
4,16XX MIRAMAR CT,39.2021938635469,-84.459669305001,ROSELAWN,ROSELAWN,4637,199011932,1,,BLACK,MALE,38,NONFATAL,06/04/2019 12:00:00 AM,JUN,190000,19,TUE,199011932,06/04/2019 07:00:00 PM,DISTRICT 4,,ROSELAWN
1,15XX VINE ST,39.1128166864391,-84.5154991582743,OVER-THE-RHINE,OVER-THE-RHINE,3720,169028745,1,,BLACK,MALE,36,NONFATAL,11/02/2016 12:00:00 AM,NOV,212700,21,WED,169028745,11/02/2016 09:27:00 PM,DISTRICT 1,,OTR
5,53XX HOLLAND DRIVE,39.18756897143,-84.5124924351405,WINTON HILLS,WINTON HILLS,1602,51105643,2,"CINC, OH 45223",BLACK,MALE,21,NONFATAL,10/06/2011 12:00:00 AM,OCT,000400,0,THU,51105643,10/06/2011 12:04:00 AM,DISTRICT 5,45232,WINTON HILLS
1,5XX POPLAR ST,39.1141141988268,-84.5249158656279,WEST END,WEST END,4918,209005468,1,,BLACK,MALE,49,FATAL,03/11/2020 12:00:00 AM,MAR,212000,21,WED,209005468,03/11/2020 09:20:00 PM,DISTRICT 1,,WEST END
1,16XX VINE ST,39.1138164392857,-84.5171638317721,OVER-THE-RHINE,OVER-THE-RHINE,1284,11100221,2,"CINC., OH 45211",WHITE,FEMALE,53,NONFATAL,01/18/2011 12:00:00 AM,JAN,110000,11,TUE,11100221,01/18/2011 11:00:00 AM,DISTRICT 1,45202,OTR
4,XX E MCMILLAN ST,39.1272160371376,-84.5103461986626,MT AUBURN,MT. AUBURN,1261,41008213,2,"CINC, OH 45227",BLACK,MALE,21,NONFATAL,12/27/2010 12:00:00 AM,DEC,,N/A,MON,41008213,12/27/2010 12:00:00 AM,DISTRICT 4,45219,MOUNT AUBURN
1,16XX HAMER ST,39.115869450221,-84.5167232109365,OVER-THE-RHINE,OVER-THE-RHINE,2539,149004260,1,"CINCINNATI, OH 45231",BLACK,MALE,35,NONFATAL,02/26/2014 12:00:00 AM,FEB,231500,23,WED,149004260,02/26/2014 11:15:00 PM,DISTRICT 1,45202,OTR
5,40XX CHERRY ST,39.1582878261067,-84.541682472524,NORTHSIDE,NORTHSIDE,1658,51106759,1,"CIN, OH 45223",WHITE,MALE,27,NONFATAL,11/30/2011 12:00:00 AM,NOV,100000,10,WED,51106759,11/30/2011 10:00:00 AM,DISTRICT 5,45223,NORTHSIDE
4,8XX LINCOLN AV,39.1317989372053,-84.489841989776,WALNUT HILLS,WALNUT HILLS,2620,149011541,2,"CINC, OH 45207",BLACK,MALE,40,NONFATAL,05/20/2014 12:00:00 AM,MAY,005000,0,TUE,149011541,05/20/2014 12:50:00 AM,DISTRICT 4,45206,WALNUT HILLS
5,58XX SHADYMIST LN,39.2018281174442,-84.5775384582774,MT AIRY,MT. AIRY,3886,179011182,2,,UNK,MALE,23,FATAL,04/02/2017 12:00:00 AM,APR,202000,20,SUN,179011182,04/02/2017 08:20:00 PM,DISTRICT 5,,MOUNT AIRY
,XX W FREEDOM WY,39.0977529780198,-84.5124891658592,CBD/RIVERFRONT,DOWNTOWN,4694,199016133,1,,BLACK,MALE,22,NONFATAL,07/22/2019 12:00:00 AM,JUL,025000,2,MON,199016133,07/22/2019 02:50:00 AM,CENTRAL BUSINESS SECTION,,DOWNTOWN
2,12XX WILLIAM HOWARD TAFT RD,39.1273199967831,-84.4848778013735,EAST WALNUT HILLS,WALNUT HILLS,2681,149016337,1,"COVINGTON, KY 41011",BLACK,MALE,20,NONFATAL,07/08/2014 12:00:00 AM,JUL,003000,0,TUE,149016337,07/08/2014 12:30:00 AM,DISTRICT 2,45206,WALNUT HILLS
1,4XX E 13TH ST,39.1108737784136,-84.5069563737976,PENDLETON,PENDLETON,3899,179014500,1,,BLACK,MALE,36,NONFATAL,04/24/2017 12:00:00 AM,APR,125000,12,MON,179014500,04/24/2017 12:50:00 PM,DISTRICT 1,,PENDLETON
4,19XX TRUITT AV,39.1780688097842,-84.4600733567303,BOND HILL,BOND HILL,1779,129008494,1,"CINC, OH 45212",BLACK,MALE,54,NONFATAL,04/03/2012 12:00:00 AM,APR,00000000000000.000,0,TUE,129008494,04/03/2012 12:00:00 AM,DISTRICT 4,45237,BOND HILL
5,25XX FLANIGAN CT,39.2041776102716,-84.5757720385274,MT AIRY,MT. AIRY,130,50802917,1,,BLACK,MALE,25,NONFATAL,05/25/2008 12:00:00 AM,MAY,,N/A,SUN,50802917,05/25/2008 12:00:00 AM,DISTRICT 5,45239,MOUNT AIRY
5,XX W MITCHELL AV,39.1599128863182,-84.5056929865461,CLIFTON,CLIFTON,4111,179044155,1,,BLACK,MALE,29,NONFATAL,10/14/2017 12:00:00 AM,OCT,234400,23,SAT,179044155,10/14/2017 11:44:00 PM,DISTRICT 5,,CLIFTON
1,S I75 AT 1-5 MM,39.1103285233042,-84.5314726950579,WEST END,QUEENSGATE,3182,159023538,3,"CINCINNATI, OH 45223",BLACK,MALE,24,NONFATAL,08/30/2015 12:00:00 AM,AUG,234500,23,SUN,159023538,08/30/2015 11:45:00 PM,DISTRICT 1,45214,WEST END
3,36XX LASALLE ST,39.1129758108653,-84.5706328745503,EAST PRICE HILL,EAST PRICE HILL,2545,149004558,1,"CINCINNATI, OH 45205",WHITE,MALE,8,FATAL,03/01/2014 12:00:00 AM,MAR,161500,16,SAT,149004558,03/01/2014 04:15:00 PM,DISTRICT 3,45205,EAST PRICE HILL
2,63XX COLERIDGE AV,39.1862123252695,-84.410256459102,KENNEDY HEIGHTS,KENNEDY HEIGHTS,4806,199024136,1,,BLACK,MALE,19,NONFATAL,10/14/2019 12:00:00 AM,OCT,191500,19,MON,199024136,10/14/2019 07:15:00 PM,DISTRICT 2,,KENNEDY HEIGHTS
4,49XX READING RD,39.1753716036746,-84.4665990308632,BOND HILL,BOND HILL,1494,41104500,1,"CINC, OH 45237",BLACK,MALE,30,NONFATAL,07/15/2011 12:00:00 AM,JUL,190000,19,FRI,41104500,07/15/2011 07:00:00 PM,DISTRICT 4,45237,BOND HILL
3,30XX PERCY ST,39.1424647320455,-84.5826234509778,WESTWOOD,WESTWOOD,2574,149007905,1,0,BLACK,MALE,38,FATAL,04/11/2014 12:00:00 AM,APR,233800,23,FRI,149007905,04/11/2014 11:38:00 PM,DISTRICT 3,45211,WESTWOOD
1,X E 15TH,39.1126627202672,-84.5153741428291,OVER-THE-RHINE,OVER-THE-RHINE,2272,139016080,1,"CLARKSVILLE, IN 47129",WHITE,MALE,22,NONFATAL,06/25/2013 12:00:00 AM,JUN,034400,3,TUE,139016080,06/25/2013 03:44:00 AM,DISTRICT 1,45202,OTR
5,XX W MCMILLAN ST,39.1284267279204,-84.5141739193459,CUF,CUF,369,50806853,1,,BLACK,MALE,24,NONFATAL,11/04/2008 12:00:00 AM,NOV,,N/A,TUE,50806853,11/04/2008 12:00:00 AM,DISTRICT 5,45219,CORRYVILLE - HEIGHTS
3,35XX SCHWARTZE AV,39.1460684474971,-84.6183125314289,WESTWOOD,WESTWOOD,4552,199003899,1,,WHITE,MALE,20,NONFATAL,02/25/2019 12:00:00 AM,FEB,052700,5,MON,199003899,02/25/2019 05:27:00 AM,DISTRICT 3,,WESTWOOD
4,78XX READING RD,39.2038498521091,-84.4532734790548,ROSELAWN,ROSELAWN,2235,139013880,1,"CINC, OH 45237",BLACK,MALE,26,NONFATAL,06/01/2013 12:00:00 AM,JUN,220100,22,SAT,139013880,06/01/2013 10:01:00 PM,DISTRICT 4,45237,ROSELAWN
3,34XX MCHENRY,39.1495969397091,-84.5694821600741,EAST WESTWOOD,EAST WESTWOOD,4147,179049543,1,,WHITE,MALE,39,NONFATAL,11/18/2017 12:00:00 AM,NOV,155000,15,SAT,179049543,11/18/2017 03:50:00 PM,DISTRICT 3,,EAST WESTWOOD
4,29XX GILBERT AV,39.1324985112014,-84.487247720341,WALNUT HILLS,WALNUT HILLS,5184,209018112,3,,BLACK,FEMALE,54,NONFATAL,08/15/2020 12:00:00 AM,AUG,225200,22,SAT,209018112,08/15/2020 10:52:00 PM,DISTRICT 4,,WALNUT HILLS
4,3XX HELEN ST,39.1242637188867,-84.5035814133253,MT AUBURN,MT. AUBURN,770,40907914,1,,BLACK,MALE,17,NONFATAL,11/14/2009 12:00:00 AM,NOV,,N/A,SAT,40907914,11/14/2009 12:00:00 AM,DISTRICT 4,45219,MOUNT AUBURN
3,9XX ELBERON AV,39.1066423329324,-84.5656602922543,EAST PRICE HILL,EAST PRICE HILL,4687,199015173,1,,BLACK,FEMALE,24,NONFATAL,07/11/2019 12:00:00 AM,JUL,042000,4,THU,199015173,07/11/2019 04:20:00 AM,DISTRICT 3,,EAST PRICE HILL
